position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,parallel,1,"(2,2) -> (7,2)",10,2892,0.00621366,0.870936,0.870936
LAT-ch,4,parallel,2,"(2,2) -> (7,2)",10,6030,0.0123067,0.439738,0.219869
LAT-ch,4,parallel,4,"(2,2) -> (7,2)",10,2728,0.00513928,1.05301,0.263252
LAT-ch,4,parallel,8,"(2,2) -> (7,2)",10,5219,0.0106365,0.508787,0.0635984
LAT-ch,4,parallel,16,"(2,2) -> (7,2)",10,3432,0.00784759,0.6896,0.0431
LAT-ch,5,sequential,1,"(2,2) -> (7,2)",-90,15613,0.0215334,1,1
LAT-ch,5,parallel,1,"(2,2) -> (7,2)",-90,17932,0.0234199,0.919451,0.919451
LAT-ch,5,parallel,2,"(2,2) -> (7,2)",-90,22412,0.0299715,0.718463,0.359231
LAT-ch,5,parallel,4,"(2,2) -> (7,2)",-90,27067,0.0361959,0.594912,0.148728
LAT-ch,5,parallel,8,"(2,2) -> (7,2)",-90,32204,0.044877,0.479832,0.059979
LAT-ch,5,parallel,16,"(3,1) -> (4,1)",-90,18905,0.0273821,0.786404,0.0491503
LAT-ch,6,sequential,1,"(2,2) -> (7,2)",10,64067,0.115282,1,1
LAT-ch,6,parallel,1,"(2,2) -> (7,2)",10,69140,0.134661,0.856095,0.856095
LAT-ch,6,parallel,2,"(2,2) -> (7,2)",10,119636,0.217141,0.530911,0.265456
LAT-ch,6,parallel,4,"(2,2) -> (7,2)",10,131240,0.224398,0.51374,0.128435
LAT-ch,6,parallel,8,"(2,2) -> (7,2)",10,246226,0.41618,0.277001,0.0346252
LAT-ch,6,parallel,16,"(2,2) -> (7,2)",10,359942,0.621761,0.185413,0.0115883
LAT-ch,4,sequential,1,"(2,1) -> (2,5)",1070,15453,0.0161328,1,1
LAT-ch,4,parallel,1,"(2,1) -> (2,5)",1070,15877,0.0172953,0.93279,0.93279
LAT-ch,4,parallel,2,"(2,1) -> (2,5)",1070,15877,0.0202287,0.797522,0.398761
LAT-ch,4,parallel,4,"(2,1) -> (2,5)",1070,15877,0.017418,0.926215,0.231554
LAT-ch,4,parallel,8,"(2,1) -> (2,5)",1070,15877,0.0175977,0.916758,0.114595
LAT-ch,4,parallel,16,"(2,1) -> (2,5)",1070,15877,0.0181132,0.890666,0.0556666
LAT-ch,5,sequential,1,"(2,1) -> (1,1)",670,14102,0.0232496,1,1
LAT-ch,5,parallel,1,"(2,1) -> (1,1)",670,15986,0.0249627,0.931372,0.931372
LAT-ch,5,parallel,2,"(2,1) -> (1,1)",670,17563,0.029132,0.798077,0.399039
LAT-ch,5,parallel,4,"(2,1) -> (1,1)",670,19755,0.0332476,0.699286,0.174822
LAT-ch,5,parallel,8,"(2,1) -> (1,1)",670,18888,0.0319858,0.726871,0.0908589
LAT-ch,5,parallel,16,"(2,1) -> (1,1)",670,26783,0.0480287,0.484077,0.0302548
LAT-ch,6,sequential,1,"(2,1) -> (2,5)",1070,282159,0.253438,1,1
LAT-ch,6,parallel,1,"(2,1) -> (2,5)",1070,327638,0.290158,0.873449,0.873449
LAT-ch,6,parallel,2,"(2,1) -> (2,5)",1070,327638,0.290293,0.873043,0.436521
LAT-ch,6,parallel,4,"(2,1) -> (2,5)",1070,327638,0.294829,0.859612,0.214903
LAT-ch,6,parallel,8,"(2,1) -> (2,5)",1070,327638,0.297024,0.853259,0.106657
LAT-ch,6,parallel,16,"(2,1) -> (2,5)",1070,327638,0.297603,0.851599,0.0532249
LAT-ch,4,sequential,1,"(5,3) -> (2,3)",380,3039,0.00594436,1,1
LAT-ch,4,parallel,1,"(5,3) -> (2,3)",380,3344,0.00685722,0.866876,0.866876
LAT-ch,4,parallel,2,"(5,3) -> (2,3)",380,3445,0.0084609,0.702568,0.351284
LAT-ch,4,parallel,4,"(5,3) -> (2,3)",380,3878,0.00737571,0.805936,0.201484
LAT-ch,4,parallel,8,"(5,3) -> (2,3)",380,3934,0.00764052,0.778004,0.0972505
