position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,6,parallel,1,"(3,3) -> (4,5)",-430,429351,0.298017,0.826423,0.826423
LAT-ch,6,parallel,2,"(5,1) -> (4,1)",-430,437451,0.211438,1.16482,0.582412
LAT-ch,6,parallel,4,"(7,7) -> (7,1)",-430,414662,0.142918,1.72328,0.430819
LAT-ch,6,parallel,8,"(7,7) -> (7,1)",-430,446384,0.131028,1.87966,0.234958
LAT-ch,6,parallel,16,"(7,7) -> (7,2)",-430,508609,0.0896198,2.74814,0.171759
LAT-ch,4,sequential,1,"(2,3) -> (2,2)",-500,3356,0.00581837,1,1
LAT-ch,4,parallel,1,"(2,3) -> (2,2)",-500,3531,0.00757705,0.767894,0.767894
LAT-ch,4,parallel,2,"(2,3) -> (2,2)",-500,3889,0.00579883,1.00337,0.501685
LAT-ch,4,parallel,4,"(2,3) -> (2,2)",-500,3889,0.00315055,1.84678,0.461695
LAT-ch,4,parallel,8,"(2,3) -> (2,2)",-500,4464,0.0026681,2.18071,0.272589
LAT-ch,4,parallel,16,"(2,3) -> (2,2)",-500,5315,0.0106775,0.54492,0.0340575
LAT-ch,5,sequential,1,"(2,3) -> (2,2)",-400,16672,0.0189216,1,1
LAT-ch,5,parallel,1,"(2,3) -> (2,2)",-400,19959,0.0213218,0.887432,0.887432
LAT-ch,5,parallel,2,"(2,3) -> (2,2)",-400,21149,0.0166089,1.13925,0.569624
LAT-ch,5,parallel,4,"(2,3) -> (2,2)",-400,24584,0.020803,0.909563,0.227391
LAT-ch,5,parallel,8,"(2,3) -> (2,2)",-400,27076,0.0184033,1.02816,0.12852
LAT-ch,5,parallel,16,"(2,3) -> (2,2)",-400,29407,0.0169704,1.11498,0.0696862
LAT-ch,6,sequential,1,"(2,3) -> (2,2)",-500,66609,0.072039,1,1
LAT-ch,6,parallel,1,"(2,3) -> (2,2)",-500,75189,0.0925582,0.77831,0.77831
LAT-ch,6,parallel,2,"(2,3) -> (2,2)",-500,90553,0.0660279,1.09104,0.54552
LAT-ch,6,parallel,4,"(2,3) -> (2,2)",-500,124244,0.0670922,1.07373,0.268433
LAT-ch,6,parallel,8,"(2,3) -> (2,2)",-500,130519,0.0677456,1.06338,0.132922
LAT-ch,6,parallel,16,"(2,3) -> (2,2)",-500,156845,0.0621566,1.15899,0.072437
LAT-ch,4,sequential,1,"(7,6) -> (7,5)",-880,912,0.00115347,1,1
LAT-ch,4,parallel,1,"(7,6) -> (7,5)",-880,913,0.00137381,0.83961,0.83961
LAT-ch,4,parallel,2,"(7,6) -> (7,5)",-880,913,0.00274069,0.420867,0.210433
LAT-ch,4,parallel,4,"(7,6) -> (7,5)",-880,913,0.00135242,0.852886,0.213222
LAT-ch,4,parallel,8,"(7,6) -> (7,5)",-880,913,0.00104583,1.10291,0.137864
LAT-ch,4,parallel,16,"(7,6) -> (7,5)",-880,913,0.0122004,0.0945436,0.00590897
LAT-ch,5,sequential,1,"(7,6) -> (7,5)",-780,3342,0.00585995,1,1
LAT-ch,5,parallel,1,"(7,6) -> (7,5)",-780,3368,0.00578355,1.01321,1.01321
LAT-ch,5,parallel,2,"(7,6) -> (7,5)",-780,3368,0.00595698,0.983713,0.491856
LAT-ch,5,parallel,4,"(7,6) -> (7,5)",-780,3368,0.00601132,0.974819,0.243705
LAT-ch,5,parallel,8,"(7,6) -> (7,5)",-780,3368,0.00592269,0.989407,0.123676
LAT-ch,5,parallel,16,"(7,6) -> (7,5)",-780,3368,0.014369,0.407819,0.0254887
LAT-ch,6,sequential,1,"(7,6) -> (7,5)",-780,13380,0.0187793,1,1
LAT-ch,6,parallel,1,"(7,6) -> (7,5)",-780,13434,0.0188177,0.99796,0.99796
LAT-ch,6,parallel,2,"(7,6) -> (7,5)",-780,13434,0.021455,0.875289,0.437644
LAT-ch,6,parallel,4,"(7,6) -> (7,5)",-780,13434,0.0203569,0.922503,0.230626
LAT-ch,6,parallel,8,"(7,6) -> (7,5)",-780,13434,0.0203542,0.922623,0.115328
LAT-ch,6,parallel,16,"(7,6) -> (7,5)",-780,13434,0.0201249,0.933139,0.0583212
LAT-ch,4,sequential,1,"(0,2) -> (1,1)",300,3934,0.00289644,1,1
LAT-ch,4,parallel,1,"(0,2) -> (1,1)",300,3934,0.00283652,1.02113,1.02113
LAT-ch,4,parallel,2,"(0,2) -> (1,1)",300,3934,0.00220362,1.3144,0.657201
LAT-ch,4,parallel,4,"(0,2) -> (1,1)",300,3934,0.00211338,1.37053,0.342632
LAT-ch,4,parallel,8,"(0,2) -> (1,1)",300,3934,0.00213345,1.35764,0.169705
LAT-ch,4,parallel,16,"(0,2) -> (1,1)",300,3934,0.00761767,0.380227,0.0237642
LAT-ch,5,sequential,1,"(0,2) -> (1,1)",300,13133,0.0202796,1,1
LAT-ch,5,parallel,1,"(0,2) -> (1,1)",300,13133,0.0202525,1.00134,1.00134
LAT-ch,5,parallel,2,"(0,2) -> (1,1)",300,13133,0.0202965,0.99917,0.499585
LAT-ch,5,parallel,4,"(0,2) -> (1,1)",300,13133,0.0203621,0.995949,0.248987
LAT-ch,5,parallel,8,"(0,2) -> (1,1)",300,13133,0.0206205,0.98347,0.122934
LAT-ch,5,parallel,16,"(0,2) -> (1,1)",300,13133,0.0207253,0.978497,0.061156
LAT-ch,6,sequential,1,"(0,2) -> (1,1)",620,185040,0.0937753,1,1
LAT-ch,6,parallel,1,"(0,2) -> (1,1)",620,185040,0.093829,0.999428,0.999428
